gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
1004,20150531,2014,INDL,C,D,STD,USD,,1515,23.8574,54.7,1342.7,39.4,35.423,69,85,154,11.9,-8.6,83.7,4.85,-1.4,-678.1,566.7,689.2,412,669.9,10.2,-43,0,1594.3,1594.3,845.1,542.1,26.5,1510.6,A,29.54,423860
1045,20141231,2014,INDL,C,D,STD,USD,,43771,2.8976,8077,29511,734.016,697.475,1708,16196,17904,148,5073,6585,113.3,3.93,-315,1004,-2911,13435,41750,2882,3080,0,42650,42650,2021,-1323,915,36065,A,53.63,481111
1050,20141231,2014,INDL,C,D,STD,USD,,414.365,6.8993,19.362,176.177,26.197,26.267,8.887,103.541,112.428,5.937,24.332,35.6,0.853,0.5,18.25,47.787,-37.812,75.351,233.141,13.077,16.263,0,263.217,263.217,181.224,67.616,3.138,227.617,A,15.54,333413
1062,20141130,2014,INDL,C,D,STD,USD,,223.333,11.4982,10.115,3.677,19.29,19.29,0,0,0,0.772,-1.458,-1.458,,-1.44,,0,,,1.533,-27.775,,0,2.219,2.219,221.8,,0,3.677,A,10.74,523999
1062,20141130,2014,FS,C,D,STD,USD,0.099,223.333,,,,,,0,0,,0.772,,,,,,0,,,1.533,,,0,-7.048,,221.8,,0,,A,10.74,523999
1072,20150331,2014,INDL,C,D,STD,USD,,2459.015,12.6759,843.506,982.445,168.402,168.19,0,0,0,67.251,212.749,254.963,10.4,1.34,-68.258,535.912,-204.109,266.309,327.052,225.871,197.589,0,1353.228,1353.228,2131.963,1478.243,0.978,1098.265,A,14.27,334416
1075,20141231,2014,INDL,C,D,STD,USD,,14313.532,39.4994,7.604,2263.032,111.178,110.571,530.97,3031.215,,256.803,811.242,1228.6,6.366,3.58,-178.881,255.986,-922.668,1559.143,9794.43,397.595,1099.627,0,3491.632,3491.632,4367.493,-585.708,200.95,2263.032,A,68.31,2211
1076,20141231,2014,INDL,C,D,STD,USD,,2456.844,16.8789,24.86,354.598,72.723,72.488,112.597,493.485,606.082,6.219,176,1194.234,12.4,1.08,456.944,13.2,-635.524,,1233.323,78.233,-48.962,0,2725.239,2725.239,1223.521,,19.215,1531.005,A,30.57,532299
1078,20141231,2014,INDL,C,D,STD,USD,,41275,14.2742,4460,8159,1527,1508.035,4437,3408,3463,1363,2927,4475,77,1.12,-2742,2643,-202,10532,19636,2284,3675,0,20247,20247,21526,4729,150,15772,A,45.02,325412
1084,20141231,2014,INDL,C,D,STD,USD,,0.028,-0.0475,0.028,0,95.756,96.852,1.11,0,0,0,-0.816,-0.816,0.001,-0.01,0.101,0,0,4.632,4.632,-0.983,-0.095,0,0,0,-4.604,-4.604,0.359,0.816,A,0.145,519130
1094,20140630,2014,INDL,C,D,STD,USD,,467.984,8.1184,43.643,387.384,28.563,28.772,8.343,97.158,105.501,6.847,47.516,55.608,0.27,1.02,70.533,100.683,-86.633,118.523,234.4,29,25.056,0,510.179,510.179,233.584,157.831,2.1,454.571,A,18.14,424690
1096,20141231,2014,INDL,C,D,STD,CAD,,7993.684,202.2671,123.148,235.156,12.521,12.353,488.688,3305.271,3786.712,7.476,256.818,262.193,,10.92,-56.269,0,-95.128,668.069,4419.886,136.703,141.15,0,566.326,566.326,2498.605,-415.827,110.056,304.133,A,150,531
1097,20141231,2014,INDL,C,D,STD,USD,,75.698,32.3529,17.7,0.075,1.063,1.006,0,8.055,8.055,0,1.489,1.676,,0.84,-1.192,0,2.787,,43.151,0.888,-1.283,0,5.102,5.102,32.547,,0.251,3.426,A,21,524126
1104,20141231,2014,INDL,C,D,STD,USD,,79.308,11.9806,2.286,67.137,3.526,3.291,0,24.147,24.147,1.104,7.694,9.394,0.303,1.36,1.31,33.671,-15.193,15.363,39.88,4.789,4.649,0,107.222,107.222,39.428,42.148,0.49,97.828,A,19.99,332215
1117,20141231,2014,INDL,C,D,STD,USD,,36.986,2.432,11.363,16.599,13.755,13.665,0,0,0,0,2.528,3.713,0.101,0.12,0.144,12.112,-0.697,3.541,3.753,1.623,3.971,0,30.971,30.971,33.233,28.864,0,27.258,A,4.8,334220
1119,20141231,2014,INDL,C,D,STD,USD,,,,,,,93.509,,,,,,,,,,,,,,,,,,,,,,,A,13.68,525990
1121,20141231,2014,INDL,C,D,STD,USD,,340.814,37.3393,80.184,4092.645,4.218,4.218,0,0,0,3.711,6.953,31.568,0.87,1.48,-3.711,13.481,-23.971,168.603,183.317,6.523,47.133,0,4132.826,4132.826,157.497,82.342,0.002,4101.258,A,49.95,424720
1161,20141231,2014,INDL,C,D,STD,USD,,3767,0.241,1040,3552,768,776,177,2035,2212,0,149,278,9.687,-0.53,46,685,-12,1440,3580,-403,-98,0,5506,5506,187,1296,177,5228,A,2.67,334413
1166,20141231,2014,INDL,C,D,STD,USD,,2210.772,32.4818,466.829,351.407,64.209,62.968,0,0,0,38.515,109.654,134.767,1.635,2.59,-45.802,149.402,-38.462,163.252,165.461,166.156,133.583,0,660.235,660.235,2045.311,584.59,2.798,525.468,A,42.37,333242
1177,20141231,2014,FS,C,D,STD,USD,4061.6,53402.1,,,,,,729.3,7852,,326.5,,,48.8,,,,,15356.5,38850.3,,,0,58042.7,,14482.6,,329.3,,A,88.83,524114
1177,20141231,2014,INDL,C,D,STD,USD,,53402.1,41.4025,3891.4,42911.7,359.1,349.8,729.3,7852,8081.3,326.5,4219.7,4848.7,48.8,5.68,-1235,0,-2129.7,15356.5,38850.3,2040.8,3372.8,0,58003.2,58003.2,14482.6,-3592.5,329.3,53154.5,A,88.83,524114
1186,20141231,2014,INDL,C,D,STD,USD,,6840.538,18.9907,271.748,1004.559,196.202,214.236,74.324,1343.598,1417.922,61.653,333.219,780.234,6.599,0.39,229.236,446.66,-851.619,328.666,2772.048,82.97,668.324,0,1896.766,1896.766,4068.49,579.394,69.926,1116.532,A,24.89,212221
1209,20140930,2014,INDL,C,D,STD,USD,,17779.1,34.4939,336.6,6677.7,215.2,213.539,1294,4824.5,4889.8,641.8,1603.7,2560.6,21.2,4.59,-661.4,861.4,-1628.2,2963,9970.5,991.7,2187.1,0,10439,10439,7365.8,331.8,158.1,7878.4,A,130.18,325120
1210,20150331,2014,INDL,C,D,STD,USD,,43.456,12.5558,19.443,94.553,2.38,2.373,0,5,5,0,2.548,3.405,0.6,1.04,5.02,7.79,-2.586,8.245,13.661,2.484,7.972,0,112.181,112.181,29.795,30.425,,108.776,A,24.6,492110
1224,20140930,2014,INDL,C,D,STD,USD,,1424.6,430.8316,5.6,320.6,,1.972,16,249.8,,37.4,62.2,96.6,0.949,,-67,53.1,-45.4,201.3,575,33,115,0,417.2,417.2,849.6,-90.9,11.5,320.6,A,,221210
1225,20141231,2014,INDL,C,D,STD,USD,,20552,188.3555,273,3814,,30.538,454,6176,,550,1525,2128,6.935,,-164,674,-1567,1604,14115,800,1709,685,5942,5942,6437,349,255,3814,A,,2211
1228,20140630,2014,INDL,C,D,STD,USD,,6.765,0.9823,1.775,0.266,4.945,4.963,0,0,0,0,-0.917,-0.735,,-0.02,-0.026,0,1.315,0.328,1.89,-0.106,-0.77,0,0.649,0.649,4.875,2.066,,1.384,A,0.475,221320
1230,20141231,2014,INDL,C,D,STD,USD,,6181,16.1772,1217,3635,136.801,131.481,117,686,803,68,932,1226,13.952,4.42,-462,58,-541,1671,4054,605,1030,0,5368,5368,2127,85,48,4142,A,59.76,481111
1234,20141231,2014,INDL,C,D,STD,USD,,171.514,78.1861,23.859,63.521,1.975,1.913,0,0,0,5.464,40.817,49.54,0.483,14.08,-29.196,28.022,-9.811,9.936,21.944,27.808,31.223,0,140.762,140.762,149.57,64.2,0,91.222,A,340.01,339112
1254,20141231,2014,INDL,C,D,STD,USD,,1401.8,8.4213,293.4,1365.4,43.4,43.2,21.6,352,373.6,28.7,133.4,201.5,1.056,1.63,63.7,,-50.5,223.5,1038,70.8,165.7,0,1714.2,1714.2,363.8,296,17.3,1512.7,A,34.52,483113
1257,20141231,2014,INDL,C,D,STD,USD,,1423.216,68.2333,337.415,99.093,5.111,5.106,401.439,631.341,1032.78,66.436,96.689,,0.068,13.19,-87.87,0,-81.52,,1074.817,67.925,49.487,0,200.814,200.814,348.399,,32.068,104.125,A,437.18,531120
1257,20141231,2014,FS,C,D,STD,USD,182.152,1423.216,,,,,,401.439,631.341,,66.436,,,0.068,,,0,,,1074.817,,,0,203.248,,348.399,,32.068,,A,437.18,531120
1262,20141231,2014,INDL,C,D,STD,CAD,,974.055,15.6018,256.896,375.439,43.251,38.912,0,223.755,223.755,10.736,57.018,101.635,2.1,1.31,-38.569,9.81,-35.798,66.733,366.956,52.765,104.872,0,503.683,503.683,607.099,275.017,16.036,402.048,A,16.4,483113
1266,20140930,2014,INDL,C,D,STD,USD,,203.567,19.7578,31.042,58.41,7.354,7.361,2.258,32.839,35.097,1.761,10.156,18.036,0.128,1.09,-9.928,19.929,-12.728,15.696,58.13,8.05,28.852,0,88.68,88.68,145.437,96.376,1.173,70.644,A,38.1,111310
1274,20141231,2014,FS,C,D,STD,USD,911.561,23489.436,,,,,,0,1767.125,,0,,,2.067,,,,,,16007.392,,,0,5260.609,,7473.428,,90.052,,A,463.5,524126
1274,20141231,2014,INDL,C,D,STD,USD,,23489.436,465.5181,1908.712,4030.899,16.405,16.054,0,1767.125,1767.125,0,994.561,1173.51,2.067,41.4,-302.075,,51.035,,16007.392,679.239,372.779,0,5204.409,5204.409,7473.428,,90.052,4030.899,A,463.5,524126
1300,20141231,2014,INDL,C,D,STD,USD,,45451,22.5735,6959,27508,795.2,782.2,2637,6046,6985,1478,6429,7353,127,5.33,-2272,4405,-1876,14773,27448,4239,5024,0,40306,40306,17657,7418,339,32953,A,99.92,334512
1327,20140930,2014,INDL,C,D,STD,USD,,2973.8,13.3848,805.8,1169.7,192.6,189.2,0,0,0,41.7,571.2,693.9,5.55,2.38,-120.6,270.8,-357.1,297.6,441.4,457.7,772.4,0,2291.5,2291.5,2532.4,1131.6,0,1597.6,A,58.05,334413
1352,20141231,2014,INDL,C,D,STD,USD,,,,,,,6.225,,,,,,,,,,,,,,,,,,,,,,,A,23.87,525910
1356,20141231,2014,INDL,C,D,STD,USD,,37399,10.0669,1897,19119,1180.05,1216.664,83,8769,8798,140,2245,3616,59,0.21,2250,3082,-3460,5541,22605,268,1674,58,23906,23906,12306,2728,516,20290,A,15.79,331318
1380,20141231,2014,INDL,C,D,STD,USD,,38578,77.6847,2444,4028,307.7,285.835,68,5919,5987,303,2052,5279,3.045,5.31,-3835,527,1,4851,16258,2317,4464,0,10737,10737,22205,1836,399,5458,A,73.82,324110
1388,20141231,2014,INDL,C,D,STD,USD,,26292,-5572000,4725,18720,,0.001,1230,10004,11234,0,2850,3901,61.6,,368,625,-1889,11520,31864,1310,1477,0,27141,27141,-5572,-4263,605,23240,A,,481111
1393,20150331,2014,INDL,C,D,STD,USD,,6872.175,96.1015,526.644,2072.642,19.587,19.608,260.81,1930.059,2190.869,19.594,649.093,1001.889,25.4,18.21,-25.461,69.472,-825.229,,4987.816,356.741,808.19,0,3074.531,3074.531,1884.359,,98.729,2072.642,A,330.4,532120
1397,20141231,2014,INDL,C,D,STD,USD,,122.04,1009.9688,2.744,147.826,0.033,0.032,6.007,5.99,7.529,0,6.055,9.39,,91.47,1.53,39.088,-3.428,33.904,88.777,2.974,0.321,0,205.585,205.585,32.319,35.463,0.723,196.195,A,425,322220
1410,20141031,2014,INDL,C,D,STD,USD,,2192.9,17.396,36.7,4483,57.1,55.691,0,319.8,319.8,34.6,137.2,194.5,118,1.32,-34.6,0,-82,526.4,1224.1,75.6,120.7,0,5032.8,5032.8,968.8,400.8,10.7,4838.3,A,27.64,561720
1414,20141231,2014,FS,C,D,STD,USD,181.66,10738.114,,,,,,0,594.532,,26.512,,,2.579,,,,,,9492.988,,,0,1344.896,,1245.126,,34.57,,A,54.26,524113
1414,20141231,2014,INDL,C,D,STD,USD,,10738.114,23.8672,289.601,1019.338,54.598,52.169,0,594.532,594.532,26.512,310.292,320.692,2.579,3.26,-175.883,7.711,-15.645,,9492.988,181.394,237.644,0,1340.03,1340.03,1245.126,,34.57,1019.338,A,54.26,524113
1417,20140630,2014,INDL,C,D,STD,USD,,,,,,,11.377,,,,,,,,,,,,,,,,,,,,,,,A,19.18,525990
1439,20141231,2014,INDL,C,D,STD,USD,,919.855,11.6193,22.971,266.349,21.655,21.631,3.828,390.825,394.653,15.532,78.796,114.072,1.8,1.77,366.793,0,-488.49,99.86,668.518,38.236,71.369,0,447.411,447.411,251.337,79.35,10.677,333.339,A,40.12,562211
1440,20141231,2014,INDL,C,D,STD,USD,,59633,34.3685,549,11804,488.9,489.402,3960,16622,,998,3287,5216,18.529,3.34,-162,1325,-4406,7967,42809,1634,4613,0,17020,17020,16820,-3489,929,11804,A,60.72,2211
1447,20141231,2014,FS,C,D,STD,USD,47000,159103,,,,,,15559,45876,,1055,,,54,,,0,,,138430,,,0,35280,,20673,,1707,,A,93.04,522210
1447,20141231,2014,INDL,C,D,STD,USD,,159103,19.4751,22849,25305,1051,1023,15559,45876,57955,1055,8963,9975,54,5.56,11,0,-7967,,138430,5885,10990,0,35280,35280,20673,,802,25305,A,93.04,522210
1448,20141231,2014,INDL,C,D,STD,USD,,32840,1592.6667,74,202,,1.5,10330,19055,24282,342,727,727,0.008,,4179,0,-4335,,30451,353,151,0,929,929,2389,,502,202,A,,522320
1449,20141231,2014,FS,C,D,STD,USD,842,119767,,,,,,428,4854,,680,,,9.525,,,,,,101420,,,0,22808,,18347,,317,,A,61.09,524114
1449,20141231,2014,INDL,C,D,STD,USD,,119767,41.4673,5422,17873,454,442.445,428,4854,5282,680,4808,4855,9.525,6.5,-147,0,-4241,,101420,2951,6550,0,22728,22728,18347,,317,17873,A,61.09,524114
1487,20141231,2014,FS,C,D,STD,USD,12031,515581,,,,,,2018,29199,,712,,,65,,,0,,,408309,,,0,64116,,106898,,1718,,A,56.01,524126
1487,20141231,2014,INDL,C,D,STD,USD,,515581,77.6916,25001,47654,1447.554,1375.927,2018,29199,31217,712,10902,15350,65,5.24,-19788,0,14284,,408309,7529,5095,0,63004,63004,106898,,1718,47654,A,56.01,524126
1507,20141231,2014,INDL,C,D,STD,USD,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,A,22.97,525910
1526,20141231,2014,INDL,C,D,STD,USD,,23552.036,164.9349,1945.23,2683.43,26.919,26.872,0,108.177,108.177,82.805,328.746,367.16,3.138,9.18,-619.944,0,154.668,,19107.522,247.193,556.785,0,3050.59,3050.59,4432.13,,,2683.43,A,114.26,524113
1526,20141231,2014,FS,C,D,STD,USD,289.256,23552.036,,,,,,0,108.177,,82.805,,,3.138,,,,,,19107.522,,,0,3050.59,,4432.13,,,,A,114.26,524113
1545,20141231,2014,INDL,C,D,STD,USD,,965.498,7.1091,61.565,54.736,12.684,14.028,109.841,545.643,655.484,0,16.855,34.448,0,-0.71,-4.655,0,38.485,,785.91,30.885,-37.968,3.126,99.466,99.466,124.34,,40.826,65.018,A,5.46,531110
1545,20141231,2014,FS,C,D,STD,USD,30.097,965.498,,,,,,109.841,545.643,,0,,,0,,,19.026,,,785.91,,,3.126,101.697,,124.34,,40.826,,A,5.46,531110
1554,20150331,2014,INDL,C,D,STD,USD,,193.108,20.9102,99.561,64.923,7.729,7.193,0,0,0,15.607,1.165,5.73,0.311,0.13,-42.852,42.831,60.68,41.175,42.701,0.979,-11.136,0,126.75,126.75,150.407,136.528,0.018,121.02,A,48.86,334517
1559,20141231,2014,INDL,C,D,STD,USD,,67.528,3.9966,10.109,3.967,5.031,5.361,14.888,20.776,35.664,0,1.649,7.82,0.009,-0.19,-3.163,0,-4.452,16.251,41.374,-0.952,6.773,0,15.417,15.417,21.426,-2.004,2.07,7.597,A,2.81,621999
1562,20150430,2014,INDL,C,D,STD,USD,,134.266,3.2509,62.239,45.019,28.614,28.585,0,0,0,11.337,9.624,15.458,0.402,0.28,-9.488,0,-11.684,39.25,41.34,8.128,10.024,0,102.873,102.873,92.926,46.34,0,87.415,A,9.71,511210
1585,20141231,2014,INDL,C,D,STD,USD,,473.171,8.9913,4.885,167.806,28.912,29.099,0.071,99.455,99.526,4.823,5.756,22.088,0.382,0.17,41.156,165.631,-7.68,81.245,212.168,4.841,-34.095,0,298.634,298.634,261.637,205.804,3.172,276.546,A,11.62,325320
1598,20141231,2014,INDL,C,D,STD,USD,,6420.963,13.4235,377.615,2522.157,247.102,241.335,286.201,1427.825,1625.926,80.551,898.586,1037.17,15.4,2.37,24.139,495.896,-641.633,936.144,3181.402,584.46,725.962,0,4021.964,4021.964,3239.561,642.46,79.928,2984.794,A,52.63,334513
1602,20141231,2014,INDL,C,D,STD,USD,,69009,33.9006,27026,2127,770,760.4,500,30215,30715,1995,6924,9016,17.9,6.7,-2877,2647,-5752,7008,43231,5158,8555,0,20063,20063,25778,27705,1089,11047,A,159.29,325414
1613,20141231,2014,INDL,C,D,STD,USD,,536.409,19.6766,97.098,218.597,10.405,10.426,13.311,0,13.311,7.499,5.063,16.881,1.076,-0.11,-6.848,54.713,-13.219,81.49,331.261,-1.187,19.975,0,272.858,272.858,205.148,150.766,0.236,255.977,A,19.25,332111
1618,20150430,2014,INDL,C,D,STD,USD,,138.729,11.584,12.05,43.233,7.919,8.056,0.128,17.962,18.09,0,-3.33,-1.519,0.57,-0.45,-4.356,66.321,-1.127,,45.408,11.32,9.962,0,49.79,49.79,93.321,,1.615,51.309,A,5.11,561990
1618,20150430,2014,FS,C,D,STD,USD,11.265,138.729,,,,,,0.128,17.962,,0,,,0.57,,,66.321,,,45.408,,,0,49.79,,93.321,,1.615,,A,5.11,561990
1632,20141031,2014,INDL,C,D,STD,USD,,6859.69,15.2886,2866.468,857.41,318.027,311.205,0,872.789,872.789,454.225,911.03,1053,9.6,1.98,-576.61,367.927,-114.751,709.056,2101.793,629.32,871.602,0,2864.773,2864.773,4757.897,3102.83,34.784,1811.773,A,49.62,334413
1633,20140731,2014,INDL,C,D,STD,USD,,614.342,41.4273,114.54,275.588,12.667,12.373,0,0,0,5.029,33.471,55.528,1.7,2.72,-18.24,124.777,-28.533,84.513,101.762,34.48,47.931,0,517.548,517.548,512.58,289.261,0,462.02,A,71.91,334510
1650,20141231,2014,INDL,C,D,STD,USD,,4.99,-0.0314,3.575,1.034,63.721,63.721,0,0.909,0.909,0,-2.678,-2.562,0.015,-0.05,0.9,0.555,-0.097,1.231,5.64,-2.893,1.771,0.009,2.787,2.787,-0.65,3.255,0,5.349,A,0.0769,334220
1659,20141231,2014,INDL,C,D,STD,USD,,2364.692,27.7286,115.133,4079.432,28.452,28.963,78.581,298.638,375.053,13.436,78.258,141.758,3.345,3.84,-94.572,795.655,-89.738,1027.706,1540.643,109.726,-10.071,0,4540.071,4540.071,803.103,226.741,21.76,4398.313,A,53.14,424510
1661,20141231,2014,INDL,C,D,STD,USD,,11879.942,16.9609,536.169,4505.064,290.694,289.408,6.19,4348.859,4355.049,59.145,604.299,1749.399,29,-2.28,69.848,230.067,-1716.909,1567.475,6961.153,-668.675,1781.911,0,6804.197,6804.197,4908.619,1174.399,202.348,5054.798,A,12.98,213111
1678,20141231,2014,INDL,C,D,STD,USD,,55952,68.8889,769,8431,384,376.505,0,11245,11245,380,-454,4884,4.95,-12.72,-794,708,-8804,3664,27815,-5403,8461,0,13749,13749,25937,2751,505,8865,A,62.67,211111
1681,20141231,2014,INDL,C,D,STD,USD,,21.68,0.1845,0.096,3.215,50.387,50.387,8.302,0.51,0.51,0,-1.097,-0.407,0.076,-0.03,-0.202,1.93,-0.278,11.872,12.382,-4.037,-0.342,0,4.276,4.276,9.298,-9.169,0.588,4.683,A,0.21,331410
1686,20150228,2014,INDL,C,D,STD,USD,,612.057,13.1661,52.512,697.892,29.374,29.05,0.044,20.587,20.631,12.071,63.585,91.085,4.802,1.72,-19.773,61.408,-24.475,149.028,229.581,50.516,68.563,0,933.936,933.936,382.476,149.947,0.924,842.851,A,45.85,327215
1689,20141231,2014,INDL,C,D,STD,USD,,11232.382,249.4021,66.731,2084.01,,13.5,643.317,3356.497,,80,568.186,969.068,1.902,,-302.975,244.671,-458.894,1275.058,7865.454,215.415,761.737,0,3053.078,3053.078,3366.928,-596.554,213.38,2084.01,A,,2211
1690,20140930,2014,INDL,C,D,STD,USD,,231839,19.0153,25077,104312,6122.663,5866.161,6308,28987,28987,11215,52503,60449,97,6.45,-37549,2111,-22579,63448,120292,39510,59713,0,182795,182795,111547,5083,384,122346,A,100.75,334220
1704,20141031,2014,INDL,C,D,STD,USD,,13174,6.4439,3162,4878,1231,1221,0,1947,1947,487,1628,2003,14,0.87,-348,1567,-161,2823,5306,1072,1800,0,9072,9072,7868,4144,95,7069,A,22.09,333242
1706,20140831,2014,INDL,C,D,STD,USD,,1856.879,15.1122,109.012,817.521,72.486,66.285,4.5,385.5,390,2.656,190.113,250.748,5.8,1.95,-380.992,162.62,261.507,299.121,855.168,163.573,125.234,0,1399.862,1399.862,1001.711,243.869,25.045,1149.114,A,33.73,333132
1712,20141231,2014,INDL,C,D,STD,USD,,232.074,5.0511,8.506,238.784,24.896,23.975,7,73.45,80.45,0,25.482,31.158,0.271,0.63,66.635,12.815,-88.942,24.881,110.686,15.571,23.205,0,289.643,289.643,121.099,30.054,1.042,258.485,A,14.7,324110
1718,20140630,2014,INDL,C,D,STD,USD,,0.708,0.004,0.1,0.001,45.854,45.854,0.163,0.214,0.25,0,-0.061,-0.061,0.002,0,0.205,0,0,0.23,0.5,-0.065,-0.11,0.017,0.045,0.045,0.208,-0.128,0.025,0.106,A,0.0099,5311
1722,20141231,2014,INDL,C,D,STD,USD,,44027,30.73,6491,75556,656,637,132,5558,5582,624,2959,3836,33.9,3.43,-3577,9374,-3407,15602,24397,2248,4962,0,81201,81201,19575,10426,355,77365,A,52,31122
1742,20141231,2014,INDL,C,D,STD,USD,,14215.004,62.8393,4.515,2233.854,,71.265,530.97,2906.215,,256.9,837.828,1255.092,6.279,,-201.259,255.986,-922.118,1532.464,9585.152,421.219,1124.167,0,3488.946,3488.946,4478.243,-632.347,197.287,2233.854,A,,2211
1743,20141231,2014,INDL,C,D,STD,USD,,1127.622,21.536,204.337,2457.232,25.994,26.044,41.351,102.474,127.73,4.102,69.239,155.461,13.238,1.69,-40.48,0,-51.598,340.782,566.739,46.177,143.766,0,2612.693,2612.693,560.883,174.207,3.29,2457.232,A,46.37,484122
1745,20141231,2014,INDL,C,D,STD,USD,,8807.925,38.8301,222.601,1618.645,,46.98,47.968,2671.343,,10,270.004,553.746,1.16,,288.285,213.69,-600.628,482.062,6867.338,121.392,403.826,116.35,2172.391,2172.391,1940.587,446.546,93.921,1618.645,A,,2211
1773,20141231,2014,INDL,C,D,STD,USD,,12442.856,43.3179,400.355,19772.779,99.947,95.895,13.454,2075.453,2075.453,0,880.098,1036.146,17,4.98,-434.886,2335.257,-244.844,5838.021,8283.945,498.045,673.301,0,22768.674,22768.674,4153.97,3194.586,121.537,21732.528,A,57.89,423690
1783,20141130,2014,INDL,C,D,STD,USD,,32.846,4.7548,0.512,26.539,4.053,4.049,3.854,5.948,7.232,,1.665,2.572,0.204,0.23,-1.021,15.107,-0.617,6.504,13.594,0.935,1.942,0,36.17,36.17,19.252,13.562,0.352,33.598,A,5.2901,333111
1790,20141231,2014,INDL,C,D,STD,CAD,,9.288,-7.8706,4.427,1.809,2.837,2.837,0,24.818,24.818,0,-0.713,-0.696,,-0.25,0.106,0,-0.313,6.019,31.617,-0.719,0.178,0,1.113,1.113,-22.329,0.966,0,1.809,A,0.33,523999
1794,20140930,2014,INDL,C,D,STD,USD,,10951,51.1857,1393,4209,78,70,338,2942,2951,103,214,574,11,0.93,-1034,765,1440,1687,7368,233,643,0,6121,6121,3583,1874,173,5547,A,104.1,3251
1820,20150131,2014,INDL,C,D,STD,USD,,74.33,8.7589,23.132,49.307,7.834,7.251,0,0,0,2.128,7.231,9.294,0.34,0.6,-7.401,15.582,5.745,9.569,10.819,4.662,1.491,0,88.347,88.347,63.511,52.349,0,79.053,A,14.95,334118
1823,20141231,2014,INDL,C,D,STD,USD,,562.91,10.4048,21.197,448.197,22.662,21.93,2.796,180.212,183.008,0.037,101.762,128.162,2,2.48,-23.113,115.053,-109.12,109.216,334.733,56.17,99.874,0,661.039,661.039,228.177,136.602,8.255,532.877,A,55.31,336413
1828,20141231,2014,INDL,C,D,STD,CAD,,17689,27.5141,595,2866,115.462,115.141,103,7285,7383,99,1134,1688,9.17,3.64,236,110,-2078,1149,11409,420,1681,0,4554,4554,3168,400,373,2866,A,47.66,221210
1837,20141231,2014,INDL,C,D,STD,USD,,14909,31.6264,39,3912,119.2,119.647,1375,3602,,233,1093,1473,5.165,4.71,-224,716,-505,3219,11081,482,655,0,5385,5385,3784,-329,181,3912,A,54.51,221210
1860,20140930,2014,INDL,C,D,STD,USD,,4507.228,39.7055,80.08,562.353,65.074,64.362,11.885,1742.122,1742.122,0,402.781,550.139,1.905,5.24,462.905,132.368,-914.215,167.377,1951.704,340.822,442.62,0,1173.953,1173.953,2555.524,330.43,71.803,623.814,A,43.69,213111
1864,20150131,2014,INDL,C,D,STD,USD,,456.947,44.3057,137.697,413.904,8.118,7.899,0,0,0,0,122.517,138.904,0.106,10.69,-97.348,18.062,-7.32,19.557,63.983,87.337,137.216,0,572.23,572.23,349.971,156.188,2.074,433.326,A,55.51,325193
1878,20150131,2014,INDL,C,D,STD,USD,,4913.8,9.7762,2026.4,236.9,232.4,227,0,747.2,747.2,0,123.8,268.8,8.823,0.35,-239.9,,-905.6,1400.1,2694.6,81.8,708.1,0,2512.2,2512.2,2219.2,1271.2,,2243.4,A,54.005,511210
1891,20140630,2014,INDL,C,D,STD,USD,,32051.7,13.8905,4015.8,6885.2,483.1,480.2,2175.8,11.5,14.3,903.3,2222.7,2558.9,61,3.11,-2358.2,0,813.3,23908,25381.5,1515.9,1821.4,0,12206.5,12206.5,6670.2,1925.4,6.1,9647.6,A,79.28,518210
1906,20141231,2014,INDL,C,D,STD,USD,,668.886,12.9911,196.781,262.934,21.945,22.072,0.46,300.813,301.273,0,5.318,8.585,0.214,-0.09,185.114,383.184,-68.098,,382.146,-1.932,-81.409,0,286.36,286.36,286.74,,18.107,277.775,A,14.57,237210
1913,20141231,2014,INDL,C,D,STD,USD,,4360.2,11.7899,244.1,4482.8,95.7,90.459,204.3,945.3,951,125.1,495.9,692.2,25,2.62,-323.5,491.8,-170.4,1597.8,3293.7,248.9,374.2,0,6330.3,6330.3,1066.5,323.5,67.2,5638.1,A,51.88,322220
1919,20140630,2014,INDL,C,D,STD,USD,,11255.517,35.3724,928.971,24136.735,140.119,138.249,865.088,1213.814,1213.814,82.755,884.563,1021.751,19,3.89,-88.497,2613.363,-237.458,4978.826,6365.324,545.604,237.418,0,27499.654,27499.654,4890.193,3975.373,104.823,26477.903,A,44.31,423690
1920,20141231,2014,INDL,C,D,STD,USD,,5496.8,0.6667,981.5,3188.5,434.5,434.7,137.1,2463.9,2479,105.2,733.8,923.5,33.2,-0.88,-218.8,822.2,-105.1,2047.2,5191.5,-388.6,359.8,0,8851.4,8851.4,289.8,917.3,111.1,7927.9,A,9.39,325620
1926,20150228,2014,INDL,C,D,STD,USD,,936.914,16.3241,22.527,565.25,25.778,25.732,21.866,315.982,337.848,14.897,98.677,144.766,3.244,2.52,-82.414,141.373,-39.565,149.142,516.862,64.943,118.157,0,816.687,816.687,420.052,149.492,16.561,671.921,A,45.42,335122
